Spot x,Spot y,Spot #,Lyr #1(um),Si-At.%,Al-At.%,Cr-At.%,Co-At.%,Al-Int(c/s),Err(c/s),Err(c/s),Si-Int(c/s),Err(c/s),Err(c/s),Cr-Int(c/s),Err(c/s),Err(c/s),Co-Int(c/s),Err(c/s),Err(c/s),LT(secs)
13.56,-27.12,13,0.104,100,15.797,33.949,50.254,40.943,2.981,1.15,2873.902,23.841,0,1212.388,13.711,0.384,2081.927,17.993,0.434,60.053
18.08,-27.12,14,0.099,100,14.033,33.325,52.642,35.002,2.779,1.114,2909.64,23.993,0,1145.781,13.333,0.388,2094.534,18.043,0.453,60.035
-22.6,-22.6,15,0.091,100,30.16,33.807,36.033,68.419,3.803,1.677,3344.276,25.723,0,980.819,12.34,0.425,1231.781,13.879,0.406,60.037
-18.08,-22.6,16,0.099,100,28.818,33.854,37.328,70.365,3.847,1.576,3206.617,25.186,0,1073.591,12.906,0.407,1392.277,14.739,0.395,60.043
-13.56,-22.6,17,0.103,100,26.622,33.988,39.39,67.394,3.767,1.488,3105.697,24.792,0,1133.031,13.261,0.398,1540.793,15.499,0.396,60.026
-9.04,-22.6,18,0.106,100,24.285,34.415,41.299,63.337,3.654,1.401,3027.512,24.476,0,1197.828,13.631,0.392,1683.26,16.197,0.397,60.032
-4.52,-22.6,19,0.107,100,22.26,34.169,43.571,58.445,3.52,1.341,2920.328,24.036,0,1208.364,13.691,0.387,1799.893,16.74,0.405,60.043
0,-22.6,20,0.108,100,20.345,33.935,45.719,54.176,3.395,1.275,2852.171,23.758,0,1230.38,13.815,0.381,1931.413,17.339,0.41,60.027
4.52,-22.6,21,0.111,100,18.503,33.542,47.955,49.885,3.276,1.215,2819.953,23.619,0,1247.514,13.911,0.374,2072.287,17.95,0.415,60.05
9.04,-22.6,22,0.109,100,16.94,32.799,50.26,45.601,3.136,1.165,2723.683,23.217,0,1225.659,13.792,0.369,2176.008,18.388,0.425,60.03
13.56,-22.6,23,0.11,100,15.441,32.023,52.535,41.884,3.016,1.112,2715.475,23.176,0,1217.177,13.736,0.361,2306.407,18.926,0.431,60.05
18.08,-22.6,24,0.109,100,14.233,31.1,54.667,38.264,2.9,1.079,2723.077,23.209,0,1178.21,13.518,0.357,2385.13,19.245,0.441,60.052
22.6,-22.6,25,0.104,100,13.073,30.123,56.804,33.952,2.744,1.056,2761.128,23.376,0,1102.641,13.081,0.357,2388.159,19.259,0.458,60.03
-27.12,-18.08,26,0.09,100,33.916,31.311,34.773,75.611,3.987,1.788,3320.222,25.632,0,884.182,11.718,0.415,1157.332,13.457,0.404,60.031
-22.6,-18.08,27,0.098,100,32.353,31.358,36.289,78.188,4.042,1.673,3169.884,25.043,0,976.35,12.307,0.395,1328.833,14.408,0.393,60.038
-18.08,-18.08,28,0.103,100,29.803,31.712,38.485,75.374,3.971,1.57,3080.388,24.687,0,1049.735,12.764,0.386,1494.579,15.265,0.393,60.038
-13.56,-18.08,29,0.105,100,26.396,32.466,41.138,68.188,3.79,1.467,2991.384,24.325,0,1113.85,13.142,0.383,1651.501,16.038,0.399,60.047
-9.04,-18.08,30,0.111,100,25.493,32.018,42.489,68.695,3.798,1.409,2904.995,23.975,0,1160.219,13.415,0.37,1797.893,16.731,0.395,60.034
-4.52,-18.08,31,0.113,100,22.589,32.306,45.106,61.158,3.601,1.33,2851.554,23.749,0,1193.572,13.605,0.368,1940.424,17.377,0.404,60.053
0,-18.08,32,0.111,100,20.398,32.01,47.592,55.502,3.436,1.263,2733.586,23.254,0,1197.738,13.632,0.364,2067.786,17.927,0.413,60.052
4.52,-18.08,33,0.117,100,19.014,31.273,49.714,53.535,3.369,1.196,2737.188,23.273,0,1231.654,13.823,0.351,2265.873,18.767,0.412,60.031
9.04,-18.08,34,0.116,100,17.127,30.678,52.195,48.45,3.232,1.142,2705.704,23.137,0,1224.886,13.785,0.345,2404.192,19.322,0.419,60.045
13.56,-18.08,35,0.117,100,15.682,29.906,54.412,44.595,3.112,1.094,2640.314,22.856,0,1212.127,13.714,0.338,2536.147,19.838,0.426,60.047
18.08,-18.08,36,0.117,100,14.39,29.024,56.585,40.909,2.985,1.05,2642.415,22.868,0,1185.746,13.567,0.332,2649.853,20.28,0.433,60.032
22.6,-18.08,37,0.115,100,13.319,27.896,58.786,37.372,2.855,1.017,2628.614,22.803,0,1131.124,13.252,0.327,2723.083,20.557,0.444,60.044
27.12,-18.08,38,0.107,100,11.88,26.742,61.378,31.703,2.665,0.999,2700.849,23.118,0,1032.127,12.663,0.328,2687.592,20.423,0.466,60.032
-27.12,-13.56,39,0.1,100,35.839,29.146,35.016,87.226,4.261,1.751,3295.895,25.537,0,907.907,11.876,0.381,1283.018,14.167,0.387,60.034
-22.6,-13.56,40,0.106,100,33.784,29.15,37.066,86.987,4.253,1.652,3160.292,25.031,0,976.912,12.31,0.367,1457.295,15.074,0.383,60.071
-18.08,-13.56,41,0.109,100,30.428,29.705,39.867,80.58,4.092,1.545,3063.445,24.612,0,1040.986,12.711,0.363,1634.118,15.955,0.389,60.059
-13.56,-13.56,42,0.113,100,28.42,29.809,41.77,77.502,4.022,1.475,2957.961,24.191,0,1090.034,13.006,0.356,1782.317,16.66,0.39,60.038
-9.04,-13.56,43,0.115,100,25.933,29.958,44.109,72.108,3.886,1.397,2855.214,23.773,0,1132.115,13.255,0.351,1939.814,17.376,0.395,60.025
-4.52,-13.56,44,0.118,100,24.375,29.572,46.052,69.318,3.815,1.341,2797.101,23.52,0,1157.241,13.396,0.342,2091.524,18.03,0.397,60.058
0,-13.56,45,0.117,100,21.096,29.741,49.163,59.564,3.555,1.259,2686.241,23.055,0,1169.062,13.471,0.343,2235.372,18.639,0.41,60.04
4.52,-13.56,46,0.119,100,19.098,29.304,51.598,54.496,3.418,1.198,2634.266,22.832,0,1180.149,13.532,0.336,2395.737,19.293,0.416,60.042
9.04,-13.56,47,0.119,100,17.337,28.632,54.031,49.861,3.263,1.135,2569.728,22.549,0,1173.799,13.497,0.329,2545.204,19.881,0.422,60.041
13.56,-13.56,48,0.12,100,15.913,27.749,56.338,46.126,3.145,1.085,2542.667,22.428,0,1159.356,13.416,0.321,2694.906,20.451,0.428,60.045
18.08,-13.56,49,0.12,100,14.298,26.931,58.772,41.431,2.994,1.033,2497.336,22.227,0,1137.627,13.287,0.315,2827.538,20.943,0.435,60.047
22.6,-13.56,50,0.118,100,12.591,25.913,61.496,36.032,2.815,0.984,2483.649,22.17,0,1095.099,13.038,0.309,2933.517,21.331,0.447,60.035
27.12,-13.56,51,0.115,100,12.258,24.404,63.338,34.401,2.764,0.985,2505.014,22.264,0,1019.949,12.585,0.301,2958.787,21.423,0.459,60.04
-31.64,-9.04,52,0.093,100,38.804,26.952,34.244,88.74,4.312,1.885,3364.132,25.795,0,777.954,10.992,0.381,1162.716,13.49,0.397,60.056
-27.12,-9.04,53,0.103,100,36.946,26.965,36.089,92.574,4.382,1.749,3196.669,25.147,0,870.188,11.625,0.36,1366.259,14.605,0.386,60.043
-22.6,-9.04,54,0.11,100,34.668,27.216,38.116,92.172,4.38,1.647,3096.776,24.752,0,948.697,12.137,0.348,1554.589,15.572,0.382,60.048
-18.08,-9.04,55,0.114,100,31.876,27.675,40.449,87.228,4.256,1.555,2991.394,24.328,0,1008.201,12.509,0.343,1719.626,16.368,0.385,60.039
-13.56,-9.04,56,0.117,100,29.598,27.701,42.7,83.085,4.155,1.48,2893.011,23.925,0,1050.186,12.772,0.337,1883.714,17.122,0.388,60.038
-9.04,-9.04,57,0.119,100,26.968,27.78,45.252,77.091,4.013,1.404,2815.083,23.602,0,1088.147,12.996,0.332,2056.226,17.887,0.394,60.037
-4.52,-9.04,58,0.121,100,24.157,27.784,48.059,69.917,3.833,1.324,2743.618,23.294,0,1118.45,13.174,0.327,2236.555,18.64,0.401,60.058
0,-9.04,59,0.123,100,22.502,27.386,50.111,66.371,3.731,1.265,2658.03,22.936,0,1137.972,13.29,0.32,2400.049,19.307,0.403,60.031
4.52,-9.04,60,0.125,100,20.626,26.824,52.55,61.514,3.601,1.207,2584.129,22.609,0,1141.582,13.308,0.313,2568.654,19.966,0.408,60.052
9.04,-9.04,61,0.124,100,18.022,26.411,55.567,53.625,3.376,1.135,2530.01,22.373,0,1137.55,13.291,0.309,2732.626,20.593,0.419,60.043
13.56,-9.04,62,0.125,100,16.303,25.489,58.208,48.813,3.231,1.079,2490.917,22.2,0,1123.804,13.205,0.3,2904.85,21.225,0.425,60.043
18.08,-9.04,63,0.126,100,15.346,24.475,60.179,46.194,3.137,1.042,2414.138,21.854,0,1100.205,13.07,0.291,3037.391,21.697,0.43,60.045
22.6,-9.04,64,0.126,100,13.886,23.257,62.857,41.792,3.002,0.997,2428.433,21.924,0,1063.067,12.853,0.281,3192.989,22.252,0.438,60.028
27.12,-9.04,65,0.123,100,12.172,22.544,65.283,35.964,2.807,0.95,2432.129,21.935,0,1021.046,12.596,0.278,3262.165,22.484,0.45,60.05
31.64,-9.04,66,0.113,100,11.042,21.459,67.499,30.751,2.637,0.947,2513.169,22.303,0,913.885,11.921,0.28,3145.865,22.086,0.474,60.035
-31.64,-4.52,67,0.102,100,41.558,24.461,33.981,102.518,4.608,1.868,3283.872,25.488,0,766.282,10.913,0.348,1249.94,13.975,0.38,60.043
-27.12,-4.52,68,0.111,100,39.384,24.662,35.955,104.389,4.645,1.752,3145.318,24.942,0,846.063,11.465,0.334,1444.447,15.015,0.374,60.052
-22.6,-4.52,69,0.113,100,35.322,25.579,39.099,95.417,4.448,1.647,3020.022,24.446,0,910.503,11.894,0.334,1624.544,15.914,0.383,60.033
-18.08,-4.52,70,0.117,100,33.284,25.503,41.213,93.082,4.394,1.571,2924.272,24.055,0,954.211,12.175,0.325,1794.625,16.717,0.384,60.037
-13.56,-4.52,71,0.12,100,30.485,25.675,43.84,87.142,4.265,1.492,2850.944,23.752,0,997.367,12.445,0.32,1975.544,17.539,0.389,60.042
-9.04,-4.52,72,0.123,100,28.078,25.64,46.282,82.231,4.134,1.411,2774.022,23.427,0,1037.142,12.692,0.314,2163.79,18.338,0.392,60.042
-4.52,-4.52,73,0.125,100,25.206,25.584,49.21,74.83,3.951,1.331,2689.181,23.069,0,1067.749,12.877,0.309,2361.158,19.156,0.399,60.031
0,-4.52,74,0.126,100,22.896,25.194,51.911,68.703,3.794,1.264,2621.045,22.774,0,1080.85,12.954,0.302,2544.029,19.879,0.406,60.035
4.52,-4.52,75,0.128,100,20.764,24.716,54.52,63.247,3.654,1.2,2535.364,22.398,0,1095.917,13.043,0.294,2742.873,20.626,0.41,60.046
9.04,-4.52,76,0.129,100,18.688,23.99,57.322,57.134,3.479,1.138,2487.396,22.185,0,1086.987,12.991,0.287,2922.824,21.291,0.418,60.042
13.56,-4.52,77,0.13,100,16.961,23.366,59.673,52.185,3.334,1.084,2433.804,21.944,0,1081.03,12.954,0.28,3085.146,21.871,0.423,60.046
18.08,-4.52,78,0.13,100,15.271,22.389,62.341,47.222,3.189,1.031,2387.527,21.739,0,1059.842,12.831,0.271,3267.209,22.507,0.429,60.032
22.6,-4.52,79,0.129,100,13.42,21.627,64.952,41.112,2.986,0.975,2350.112,21.563,0,1027.906,12.636,0.266,3390.385,22.921,0.439,60.048
27.12,-4.52,80,0.127,100,12.003,20.472,67.525,36.408,2.822,0.93,2347.833,21.557,0,976.42,12.322,0.258,3502.213,23.298,0.449,60.029
31.64,-4.52,81,0.121,100,11.353,19.557,69.089,33.191,2.717,0.93,2404.591,21.814,0,898.999,11.827,0.257,3430.579,23.057,0.464,60.038
-31.64,0,82,0.106,100,43.43,22.112,34.458,110.977,4.786,1.873,3252.855,25.371,0,724.939,10.619,0.324,1314.456,14.333,0.376,60.033
-27.12,0,83,0.112,100,39.735,22.823,37.442,106.349,4.686,1.751,3111.049,24.816,0,799.874,11.154,0.318,1522.752,15.418,0.379,60.02
-22.6,0,84,0.116,100,36.937,23.298,39.765,102.176,4.598,1.662,2975.63,24.265,0,857.755,11.545,0.314,1694.933,16.251,0.381,60.042
-18.08,0,85,0.12,100,34.473,23.442,42.085,98.535,4.52,1.581,2883.252,23.89,0,906.995,11.875,0.307,1878.165,17.105,0.383,60.027
-13.56,0,86,0.123,100,31.716,23.422,44.862,92.637,4.387,1.502,2798.852,23.538,0,943.047,12.107,0.301,2072.802,17.959,0.389,60.026
-9.04,0,87,0.125,100,28.83,23.48,47.69,85.227,4.215,1.426,2720.206,23.227,0,972.679,12.289,0.297,2256.338,18.721,0.396,60.068
-4.52,0,88,0.128,100,26.582,23.21,50.208,80.578,4.094,1.351,2628.974,22.802,0,1004.883,12.489,0.288,2467.998,19.573,0.398,60.061
0,0,89,0.129,100,23.706,22.96,53.335,72.355,3.894,1.276,2558.106,22.496,0,1019.544,12.582,0.283,2670.911,20.363,0.407,60.054
4.52,0,90,0.131,100,21.509,22.588,55.903,66.429,3.744,1.212,2485.892,22.18,0,1032.505,12.663,0.277,2863.405,21.079,0.412,60.04
9.04,0,91,0.131,100,19.205,22.051,58.744,59.457,3.542,1.144,2425.582,21.91,0,1027.409,12.632,0.271,3043.973,21.726,0.419,60.036
13.56,0,92,0.13,100,16.742,21.381,61.877,51.41,3.304,1.076,2341.024,21.522,0,1003.797,12.489,0.266,3203.292,22.286,0.43,60.045
18.08,0,93,0.129,100,14.821,20.587,64.592,45.561,3.125,1.016,2272.83,21.207,0,983.799,12.358,0.259,3374.35,22.871,0.438,60.039
22.6,0,94,0.131,100,13.294,19.459,67.247,41.259,2.993,0.964,2269.937,21.201,0,957.728,12.207,0.248,3580.956,23.558,0.442,60.014
27.12,0,95,0.128,100,12.093,18.587,69.32,36.938,2.851,0.933,2228.075,20.998,0,908.426,11.888,0.243,3637.514,23.738,0.452,60.047
31.64,0,96,0.123,100,11.378,17.693,70.929,33.725,2.742,0.925,2300.198,21.338,0,840.724,11.438,0.241,3593.991,23.597,0.466,60.034
-31.64,4.52,97,0.106,100,44.143,20.456,35.4,112.312,4.818,1.894,3202.829,25.181,0,672.842,10.239,0.311,1343.473,14.488,0.382,60.02
-27.12,4.52,98,0.112,100,40.999,21.026,37.975,110.067,4.772,1.777,3036.158,24.512,0,744.438,10.764,0.304,1547.128,15.535,0.381,60.036
-22.6,4.52,99,0.116,100,37.547,21.598,40.854,103.958,4.642,1.677,2922.529,24.049,0,803.595,11.179,0.3,1743.803,16.484,0.386,60.039
-18.08,4.52,100,0.121,100,35.342,21.63,43.027,101.428,4.575,1.594,2824.59,23.635,0,848.867,11.482,0.293,1929.161,17.32,0.386,60.058
-13.56,4.52,101,0.123,100,32.7,21.426,45.874,95.561,4.454,1.524,2722.681,23.212,0,871.885,11.639,0.286,2119.483,18.16,0.393,60.042
-9.04,4.52,102,0.126,100,29.663,21.549,48.788,88.126,4.276,1.439,2645.794,22.88,0,907.969,11.882,0.282,2322.616,18.992,0.399,60.042
-4.52,4.52,103,0.127,100,26.631,21.575,51.793,79.845,4.081,1.361,2556.774,22.492,0,933.329,12.044,0.278,2517.874,19.776,0.407,60.044
0,4.52,104,0.13,100,24.784,20.983,54.232,76.091,3.986,1.298,2495.346,22.226,0,948.329,12.141,0.269,2733.818,20.603,0.409,60.023
4.52,4.52,105,0.13,100,21.366,20.732,57.902,65.584,3.72,1.212,2412.528,21.847,0,955.369,12.184,0.264,2953.145,21.399,0.42,60.054
9.04,4.52,106,0.132,100,19.438,20.169,60.393,60.19,3.57,1.153,2364.496,21.631,0,954.474,12.182,0.257,3140.16,22.066,0.424,60.045
13.56,4.52,107,0.132,100,17.111,19.65,63.238,53.268,3.356,1.078,2285.804,21.267,0,950.716,12.154,0.251,3336.139,22.735,0.431,60.046
18.08,4.52,108,0.134,100,15.276,18.66,66.063,48.213,3.209,1.017,2252.755,21.114,0,935.573,12.06,0.241,3575.19,23.537,0.435,60.04
22.6,4.52,109,0.132,100,13.515,18.011,68.474,42.164,3.016,0.967,2184.01,20.794,0,903.07,11.851,0.236,3679.026,23.877,0.444,60.025
27.12,4.52,110,0.133,100,12.419,16.981,70.6,38.821,2.905,0.929,2197.267,20.854,0,865.973,11.608,0.228,3823.498,24.336,0.449,60.038
31.64,4.52,111,0.127,100,11.142,16.084,72.774,33.709,2.729,0.902,2267.37,21.181,0,796.861,11.141,0.225,3799.035,24.257,0.465,60.048
-31.64,9.04,112,0.107,100,45.274,18.97,35.756,116.256,4.894,1.906,3216.128,25.224,0,633.709,9.933,0.297,1368.615,14.623,0.382,60.047
-27.12,9.04,113,0.115,100,42.323,19.171,38.506,115.775,4.879,1.783,3036.382,24.511,0,698.723,10.43,0.286,1600.161,15.794,0.38,60.04
-22.6,9.04,114,0.12,100,39.625,19.583,40.791,112.737,4.827,1.697,2907.536,23.986,0,755.7,10.841,0.281,1789.607,16.695,0.381,60.044
-18.08,9.04,115,0.124,100,36.853,19.482,43.665,107.918,4.718,1.611,2843.003,23.719,0,790.072,11.091,0.273,2000.787,17.643,0.385,60.037
-13.56,9.04,116,0.126,100,33.419,19.865,46.716,99.447,4.533,1.523,2723.771,23.21,0,833.566,11.384,0.271,2205.834,18.516,0.392,60.056
-9.04,9.04,117,0.129,100,30.389,19.761,49.85,91.885,4.366,1.444,2645.645,22.882,0,859.731,11.56,0.266,2424.581,19.408,0.399,60.038
-4.52,9.04,118,0.131,100,27.645,19.421,52.934,84.806,4.196,1.368,2566.026,22.533,0,874.884,11.665,0.259,2645.925,20.267,0.405,60.042
0,9.04,119,0.132,100,24.765,19.24,55.994,76.546,3.997,1.293,2480.28,22.15,0,889.664,11.762,0.254,2854.055,21.04,0.413,60.057
4.52,9.04,120,0.136,100,22.381,18.931,58.688,70.363,3.837,1.221,2411.601,21.845,0,910.453,11.893,0.247,3090.271,21.892,0.416,60.043
9.04,9.04,121,0.136,100,20.361,18.364,61.275,64.541,3.68,1.161,2326.651,21.457,0,903.908,11.858,0.241,3277.614,22.539,0.421,60.041
13.56,9.04,122,0.131,100,16.443,17.824,65.734,50.854,3.292,1.064,2244.709,21.074,0,871.368,11.645,0.238,3456.868,23.143,0.44,60.054
18.08,9.04,123,0.134,100,15.455,17.162,67.383,48.727,3.238,1.027,2199.972,20.867,0,869.519,11.633,0.23,3648.378,23.778,0.439,60.046
22.6,9.04,124,0.134,100,13.257,16.36,70.382,41.756,2.998,0.952,2171.904,20.732,0,843.084,11.456,0.222,3840.115,24.39,0.447,60.038
27.12,9.04,125,0.132,100,11.81,15.505,72.684,36.838,2.845,0.912,2154.108,20.65,0,800.92,11.168,0.216,3942.384,24.71,0.456,60.035
31.64,9.04,126,0.125,100,11.285,14.677,74.038,33.803,2.729,0.911,2240.169,21.053,0,725.741,10.637,0.215,3821.218,24.327,0.471,60.05
-27.12,13.56,127,0.115,100,43.774,17.39,38.836,119.4,4.952,1.815,3013.915,24.415,0,635.674,9.948,0.272,1604.685,15.811,0.383,60.054
-22.6,13.56,128,0.12,100,40.455,17.834,41.71,114.242,4.855,1.719,2881.175,23.879,0,688.684,10.36,0.268,1813.468,16.802,0.386,60.036
-18.08,13.56,129,0.124,100,37.408,18.163,44.429,108.86,4.741,1.629,2785.122,23.477,0,736.728,10.708,0.264,2020.878,17.736,0.39,60.039
-13.56,13.56,130,0.127,100,34.281,18.103,47.615,102.123,4.593,1.542,2698.861,23.116,0,768.095,10.931,0.258,2250.385,18.702,0.396,60.018
-9.04,13.56,131,0.129,100,31.263,17.996,50.741,95.012,4.439,1.461,2612.923,22.737,0,795.446,11.125,0.252,2481.579,19.631,0.401,60.048
-4.52,13.56,132,0.131,100,28.145,18.01,53.845,86.186,4.232,1.382,2530.84,22.378,0,816.965,11.274,0.249,2686.759,20.421,0.409,60.047
0,13.56,133,0.133,100,25.637,17.526,56.838,79.507,4.076,1.314,2455.784,22.045,0,821.89,11.308,0.241,2908.228,21.238,0.415,60.046
4.52,13.56,134,0.133,100,22.61,17.302,60.089,70.313,3.844,1.236,2360.116,21.617,0,828.821,11.356,0.237,3118.538,21.995,0.424,60.027
9.04,13.56,135,0.133,100,19.926,16.824,63.249,62.135,3.616,1.16,2279.382,21.237,0,824.356,11.325,0.231,3329.949,22.719,0.432,60.05
13.56,13.56,136,0.136,100,18.169,16.123,65.708,57.806,3.489,1.097,2238.784,21.052,0,822.376,11.319,0.222,3571.567,23.526,0.433,60.027
18.08,13.56,137,0.136,100,15.512,15.461,69.027,49.316,3.235,1.018,2189.053,20.81,0,803.512,11.181,0.215,3787.869,24.219,0.441,60.052
22.6,13.56,138,0.135,100,13.592,14.76,71.648,43.127,3.047,0.96,2141.248,20.584,0,777.477,11.007,0.209,3952.615,24.738,0.448,60.048
27.12,13.56,139,0.132,100,11.944,14.05,74.006,37.198,2.855,0.917,2155.159,20.654,0,732.922,10.691,0.205,4013.313,24.933,0.46,60.04
-27.12,18.08,140,0.111,100,44.277,16.259,39.464,117.522,4.92,1.854,3077.295,24.675,0,579.392,9.505,0.267,1579.626,15.693,0.392,60.044
-22.6,18.08,141,0.119,100,41.432,16.553,42.015,116.97,4.906,1.738,2914.547,24.01,0,641.912,9.994,0.258,1822.344,16.836,0.388,60.055
-18.08,18.08,142,0.12,100,37.805,16.541,45.654,107.37,4.713,1.66,2746.222,23.315,0,659.211,10.134,0.254,2019.946,17.728,0.401,60.032
-13.56,18.08,143,0.124,100,34.446,16.625,48.929,100.62,4.56,1.561,2665.75,22.972,0,696.868,10.415,0.248,2262.59,18.755,0.406,60.026
-9.04,18.08,144,0.127,100,31.851,16.597,51.552,94.875,4.433,1.488,2566.367,22.534,0,722.3,10.606,0.244,2461.765,19.551,0.409,60.049
-4.52,18.08,145,0.13,100,28.987,16.167,54.846,88.26,4.285,1.407,2507.52,22.274,0,736.354,10.707,0.235,2717.23,20.536,0.415,60.054
0,18.08,146,0.132,100,25.781,16.141,58.078,79.399,4.066,1.32,2414.786,21.857,0,758.724,10.868,0.231,2950.937,21.393,0.421,60.053
4.52,18.08,147,0.134,100,23.404,15.7,60.896,73.087,3.909,1.252,2360.578,21.618,0,763.443,10.905,0.224,3176.248,22.191,0.425,60.026
9.04,18.08,148,0.135,100,19.897,15.388,64.715,62.519,3.63,1.155,2298.315,21.328,0,771.051,10.959,0.219,3448.481,23.117,0.434,60.036
13.56,18.08,149,0.135,100,17.268,14.824,67.908,54.531,3.405,1.078,2238.038,21.043,0,760.869,10.889,0.212,3675.138,23.863,0.441,60.049
18.08,18.08,150,0.135,100,15.287,14.235,70.478,48.441,3.213,1.014,2193.04,20.83,0,745.422,10.778,0.206,3861.689,24.455,0.446,60.049
22.6,18.08,151,0.135,100,13.508,13.528,72.965,42.589,3.024,0.959,2160.282,20.675,0,715.382,10.563,0.2,4005.38,24.905,0.454,60.045
27.12,18.08,152,0.128,100,12.061,12.977,74.962,36.75,2.837,0.931,2225.249,20.984,0,663.594,10.177,0.199,3956.486,24.75,0.469,60.045
-22.6,22.6,153,0.113,100,42.47,14.962,42.568,114.075,4.852,1.806,2912.206,24.004,0,552.022,9.281,0.252,1741.678,16.469,0.403,60.047
-18.08,22.6,154,0.122,100,39.155,15.037,45.808,112.712,4.819,1.674,2844.24,23.718,0,612.202,9.769,0.24,2054.009,17.87,0.399,60.058
-13.56,22.6,155,0.125,100,35.639,15.148,49.213,104.808,4.643,1.579,2736.026,23.268,0,644.082,10.025,0.236,2289.672,18.86,0.405,60.036
-9.04,22.6,156,0.129,100,32.39,15.199,52.411,97.547,4.495,1.493,2648.114,22.892,0,676.511,10.265,0.231,2536.845,19.849,0.41,60.041
-4.52,22.6,157,0.129,100,28.821,15.017,56.162,87.392,4.269,1.408,2543.402,22.437,0,687.949,10.353,0.226,2774.92,20.754,0.42,60.04
0,22.6,158,0.132,100,26.235,14.673,59.091,81.019,4.104,1.329,2463.706,22.082,0,699.311,10.434,0.219,3014.622,21.628,0.424,60.033
4.52,22.6,159,0.134,100,23.435,14.278,62.287,73.132,3.904,1.251,2393.459,21.764,0,702.2,10.461,0.213,3252.678,22.458,0.43,60.033
9.04,22.6,160,0.134,100,20.01,14.011,65.979,62.432,3.63,1.163,2315.098,21.406,0,703.725,10.474,0.209,3490.679,23.26,0.44,60.041
13.56,22.6,161,0.135,100,18.163,13.336,68.501,57.322,3.472,1.1,2259.16,21.145,0,689.714,10.371,0.201,3701.366,23.943,0.443,60.037
18.08,22.6,162,0.134,100,15.602,12.883,71.515,48.952,3.237,1.032,2213.782,20.927,0,672.702,10.241,0.196,3872.279,24.489,0.452,60.059
22.6,22.6,163,0.129,100,13.287,12.386,74.327,40.697,2.962,0.967,2218.367,20.949,0,637.078,9.97,0.194,3936.659,24.685,0.466,60.052
-18.08,27.12,164,0.115,100,39.377,13.959,46.664,107.251,4.706,1.728,2887.356,23.902,0,536.602,9.156,0.238,1962.182,17.472,0.416,60.044
-13.56,27.12,165,0.12,100,36.031,13.975,49.994,102.244,4.594,1.619,2752.427,23.333,0,573.802,9.464,0.231,2229.676,18.613,0.417,60.056
-9.04,27.12,166,0.124,100,32.931,13.852,53.217,96.381,4.467,1.526,2684.034,23.046,0,600.797,9.678,0.223,2488.894,19.66,0.42,60.038
-4.52,27.12,167,0.128,100,29.839,13.709,56.453,89.582,4.311,1.436,2572.655,22.565,0,624.076,9.862,0.217,2751.194,20.662,0.424,60.037
0,27.12,168,0.129,100,26.825,13.299,59.875,81.418,4.116,1.356,2498.075,22.232,0,625.859,9.879,0.21,2989.97,21.537,0.431,60.047
