Spot x,Spot y,Spot #,Lyr #1(um),Si-At.%,Al-At.%,Cr-At.%,Co-At.%,Al-Int(c/s),Err(c/s),Err(c/s),Si-Int(c/s),Err(c/s),Err(c/s),Cr-Int(c/s),Err(c/s),Err(c/s),Co-Int(c/s),Err(c/s),Err(c/s),LT(secs)
-9.04,-31.64,1,0.089,100,22.357,38.642,39.001,50.07,3.298,1.473,3272.563,25.449,0,1121.635,13.194,0.455,1332.952,14.433,0.422,60.028
-4.52,-31.64,2,0.092,100,20.383,38.752,40.865,47.187,3.203,1.384,3198.343,25.157,0,1175.86,13.505,0.445,1457.241,15.08,0.423,60.031
0,-31.64,3,0.093,100,18.784,38.381,42.835,44.283,3.111,1.32,3123.742,24.865,0,1197.316,13.626,0.437,1566.973,15.638,0.427,60.022
4.52,-31.64,4,0.094,100,17.528,37.847,44.625,41.793,3.03,1.271,3098.83,24.764,0,1203.193,13.664,0.43,1660.246,16.085,0.432,60.031
9.04,-31.64,5,0.093,100,16.068,37.085,46.847,38.071,2.901,1.224,3080.151,24.686,0,1178.45,13.521,0.425,1737.917,16.454,0.444,60.039
-18.08,-27.12,6,0.089,100,27.4,36.106,36.494,61.481,3.621,1.614,3325.917,25.651,0,1038.681,12.693,0.441,1237.754,13.911,0.41,60.044
-13.56,-27.12,7,0.094,100,24.852,36.606,38.542,58.657,3.542,1.501,3212.728,25.218,0,1124.524,13.214,0.43,1392.944,14.756,0.408,60.02
-9.04,-27.12,8,0.099,100,22.881,36.744,40.375,56.145,3.458,1.409,3124.027,24.86,0,1189.128,13.583,0.42,1534.104,15.468,0.407,60.039
-4.52,-27.12,9,0.102,100,21.796,36.389,41.814,55.208,3.435,1.356,3042.315,24.535,0,1228.252,13.805,0.409,1653.985,16.054,0.406,60.036
0,-27.12,10,0.104,100,20.067,36.043,43.89,51.671,3.32,1.289,2981.256,24.281,0,1248.937,13.917,0.402,1778.066,16.64,0.411,60.054
4.52,-27.12,11,0.105,100,18.17,35.528,46.303,46.988,3.184,1.231,2931.64,24.08,0,1250.74,13.927,0.396,1900.335,17.193,0.419,60.049
9.04,-27.12,12,0.104,100,16.674,34.812,48.514,43.331,3.063,1.179,2901.931,23.958,0,1239.513,13.865,0.389,2008.562,17.672,0.427,60.049
